Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,DesignWavelength_nm,FSR_nm,Notch_at_0V_nm,dLambda_dV_pm_per_V,PeakIL_dB,PeakIL_near_1310_dB,I_at_-1V_pA,I_at_-2V_pA,FailedContact,Vpi_V,Vpi_L_V_cm,ER_at_-2V_dB,ER_at_0V_dB,FWHM_nm,Q_factor,Centre_nm,Score_Vpi_V,Score_ER_at_-2V_dB,Score_PeakIL_dB,Score_I_at_-1V_pA,Score_Q_factor,Score_FSR_nm,EfficiencyScore
D07,20190715_190855,"(2,2)",MZMCTE_LULAB_450_500,DCM_LMZC,2,2,C,1550.0,14.305749999999989,1552.0019,-244.70285714272902,-10.892215251922607,-10.892215251922607,48047.27,71710.57,False,29.230860168616267,1.3153887075877322,31.93073081970215,35.47237491607666,6.754632826225361,228.7428258129941,1545.0738,0.7871427598282865,0.6013977891497427,0.20678122958836012,0.842454905137793,0.18941723743017277,0.9785927780054849,0.61584854150855
D07,20190715_190855,"(0,3)",MZMCTE_LULAB_450_500,DCM_LMZC,0,3,C,1550.0,14.398299999999836,1547.391,-256.7657142855288,-10.284873199462892,-10.284873199462892,49716.18,76494.43,False,28.037816575441664,1.261701745894875,36.9568395614624,37.648536682128906,7.250708331993565,214.43907668156083,1554.8352,0.8517188562954221,0.9366564086666642,0.31988618108228195,0.8366585454245858,0.0,0.9984012002769249,0.7058026151460993
D08,20190526_082853,"(-1,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-1,O,1310.0,9.820999999999913,1312.509,-158.7942857144078,-6.671769618988037,-6.671769618988037,53125.46,97263.08,False,30.92365684261152,1.1750989600192379,29.28114128112793,30.648732662200928,4.749228864065344,275.471521260846,1308.2773,0.6955164337287628,0.42466111737654744,0.9927523255507315,0.824817635343729,0.9036709126177642,0.018724363289232993,0.6715125734110735
D08,20190526_082853,"(-3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-1,O,1310.0,9.856649999999945,1308.4738,-163.6514285713105,-9.243783760070801,-9.243783760070801,62870.32,114982.59999999999,False,30.114769195873368,1.144361229443188,31.727827072143555,29.32589817047119,5.1284268932911345,256.1950335528382,1313.8775,0.7392992485443088,0.5878634161792367,0.5137676521024153,0.7909723627317583,0.6090275022208682,0.026354511900563586,0.6126046694529748
D08,20190526_082853,"(3,-1)",MZMOTE_LULAB_380_500,DCM_LMZO,3,-1,O,1310.0,9.901599999999917,1307.53,-217.2114285709967,-9.008456373214722,-9.008456373214722,53568.05,96864.38,False,22.79253919819308,0.866116489531337,31.489797592163086,31.345436096191406,4.8593543627898725,270.2028915722393,1313.0116,1.0,0.5719860368858801,0.5575925322794942,0.8232804578773177,0.8231392803471964,0.035975134062661264,0.722102825596646
D08,20190526_082853,"(-3,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,-3,-3,O,1310.0,9.83660000000009,1308.0264,-182.08571428552838,-9.940737199783324,-9.940737199783324,67618.09999999999,125198.70000000001,False,27.010905382108476,1.026414404520122,29.15131664276123,26.18995952606201,4.67237169807413,281.04056887024797,1313.126,0.9073026728996492,0.41600137058745196,0.3839744249202163,0.7744826534489507,0.9887944685866887,0.022063222148643882,0.6443988063057751
D08,20190526_082853,"(0,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,0,-3,O,1310.0,9.820300000000088,1306.2246,-167.645714285493,-8.224853515625,-8.224853515625,38477.920000000006,71476.76,False,29.2888489331632,1.1129762594602017,30.695013999938965,30.386322021484375,4.918061998258054,266.68553598237514,1311.576,0.7840039909896488,0.5189712567379999,0.7035224293436576,0.8756906067763347,0.7693760812481385,0.01857454269942694,0.6684440348877196
D08,20190526_082853,"(2,-3)",MZMOTE_LULAB_380_500,DCM_LMZO,2,-3,O,1310.0,9.889099999999871,1313.6828,-185.7428571425455,-8.631327962875366,-8.631327962875366,59376.85,109153.7,False,26.62040455318999,1.0115753730212196,33.238487243652344,32.56575012207031,4.778369703757335,273.94784856657,1309.0241,0.9284393852067292,0.6886296092086892,0.6278249332562765,0.8031056765517353,0.8803813940202653,0.03329976638687184,0.7403984774434279
D08,20190526_082853,"(-1,-4)",MZMOTE_LULAB_380_500,DCM_LMZO,-1,-4,O,1310.0,9.711000000000013,1310.5799,-181.07428571393172,-8.447550773620605,-8.447550773620605,76404.6,142494.30000000002,False,26.814961499673764,1.018968536987603,30.320789337158203,29.37547492980957,4.93342562665589,264.75540503594686,1306.1511,0.9179085645256034,0.49400919358352785,0.6620496505999314,0.7439659002267309,0.7398737998583618,0.0,0.6722595289106567
D08,20190526_082853,"(-4,0)",MZMOTE_LULAB_380_500,DCM_LMZO,-4,0,O,1310.0,9.753200000000106,1313.6022,-184.4057142855397,-8.328320455551147,-8.328320455551147,76362.18999999999,143189.0,False,26.44495057484482,1.0049081218441032,32.92043685913086,33.24611473083496,4.855376555994553,269.5841372764309,1308.9325,0.9379362159143243,0.6674145622747554,0.6842538422695762,0.7441131961356997,0.8136815472437233,0.004213169015845402,0.7285524531239664
